rating,feedback_text,feedback_category,sentiment
2,Items were missing from my order.,App Experience,Negative
3,Delivery was late and I was unhappy.,Delivery,Negative
1,I had a bad experience.,App Experience,Negative
3,The product met my expectations.,Delivery,Neutral
3,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral
2,Not worth the price I paid.,App Experience,Negative
3,"Average experience, could improve.",Customer Service,Neutral
4,"It was okay, nothing special.",Delivery,Neutral
4,Highly recommended!,Customer Service,Positive
5,Highly recommended!,Product Quality,Positive
3,Items were missing from my order.,Customer Service,Negative
2,The packaging was poor.,Delivery,Negative
3,Taste was not as expected.,Delivery,Negative
3,"Average experience, could improve.",Product Quality,Neutral
3,The product met my expectations.,App Experience,Neutral
3,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral
4,Good selection of products.,Product Quality,Positive
2,Not worth the price I paid.,Delivery,Negative
5,Great prices and fast delivery!,Product Quality,Positive
1,Taste was not as expected.,Customer Service,Negative
4,Highly recommended!,Delivery,Positive
3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral
4,"Delivery was fine, but the product could be better.",App Experience,Neutral
2,Very disappointed with the quality.,Product Quality,Negative
2,Delivery was late and I was unhappy.,App Experience,Negative
3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral
4,"It was okay, nothing special.",Customer Service,Neutral
2,The packaging was poor.,App Experience,Negative
3,The product met my expectations.,App Experience,Neutral
4,Very happy with the service!,Customer Service,Positive
1,Customer service was not helpful.,App Experience,Negative
5,Will definitely order again.,Customer Service,Positive
4,"It was okay, nothing special.",Customer Service,Neutral
2,Very disappointed with the quality.,Product Quality,Negative
4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral
3,Taste was not as expected.,Delivery,Negative
4,"Delivery was fine, but the product could be better.",Customer Service,Neutral
5,Highly recommended!,Product Quality,Positive
3,The product met my expectations.,Delivery,Neutral
3,"It was okay, nothing special.",App Experience,Neutral
4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral
4,"Overall good experience, thank you!",Delivery,Positive
2,Taste was not as expected.,Delivery,Negative
4,"It was okay, nothing special.",App Experience,Neutral
5,Very happy with the service!,Customer Service,Positive
1,Taste was not as expected.,Product Quality,Negative
3,The order was incorrect.,App Experience,Negative
2,Product was damaged during delivery.,Product Quality,Negative
4,Highly recommended!,App Experience,Positive
4,Will definitely order again.,Product Quality,Positive
4,"It was okay, nothing special.",Customer Service,Neutral
3,I had a bad experience.,Product Quality,Negative
3,"Average experience, could improve.",Delivery,Neutral
3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral
1,I had a bad experience.,Customer Service,Negative
5,Highly recommended!,App Experience,Positive
4,The product met my expectations.,Customer Service,Neutral
3,The product met my expectations.,Delivery,Neutral
4,Will definitely order again.,Delivery,Positive
2,Items were missing from my order.,Product Quality,Negative
3,The product met my expectations.,Delivery,Neutral
4,Customer service was very helpful.,Customer Service,Positive
2,Product was damaged during delivery.,Product Quality,Negative
2,Delivery was late and I was unhappy.,Customer Service,Negative
5,Customer service was very helpful.,Product Quality,Positive
3,Product was damaged during delivery.,Delivery,Negative
4,"It was okay, nothing special.",Customer Service,Neutral
1,Very disappointed with the quality.,Delivery,Negative
2,Very disappointed with the quality.,Delivery,Negative
3,Not worth the price I paid.,App Experience,Negative
3,I had a bad experience.,Product Quality,Negative
5,"Excellent quality, will buy again!",Customer Service,Positive
3,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral
4,Very happy with the service!,Customer Service,Positive
4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral
1,Items were missing from my order.,App Experience,Negative
2,Taste was not as expected.,Customer Service,Negative
1,The order was incorrect.,App Experience,Negative
4,Highly recommended!,Product Quality,Positive
4,"It was okay, nothing special.",Delivery,Neutral
4,"Delivery was fine, but the product could be better.",App Experience,Neutral
3,Taste was not as expected.,App Experience,Negative
5,Good selection of products.,Customer Service,Positive
2,Product was damaged during delivery.,App Experience,Negative
3,The packaging was poor.,Delivery,Negative
3,The product met my expectations.,App Experience,Neutral
4,Will definitely order again.,Delivery,Positive
4,Very fresh and well-packaged.,Delivery,Positive
4,"Overall good experience, thank you!",Customer Service,Positive
4,The product met my expectations.,Customer Service,Neutral
1,The packaging was poor.,Delivery,Negative
5,Customer service was very helpful.,App Experience,Positive
3,Customer service was not helpful.,Delivery,Negative
4,Highly recommended!,Delivery,Positive
5,"Excellent quality, will buy again!",App Experience,Positive
5,Items were in perfect condition.,Product Quality,Positive
4,"Excellent quality, will buy again!",App Experience,Positive
4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral
5,Will definitely order again.,Customer Service,Positive
3,The product met my expectations.,App Experience,Neutral
4,Good selection of products.,App Experience,Positive
2,Product was damaged during delivery.,Product Quality,Negative
4,The product met my expectations.,App Experience,Neutral
4,Highly recommended!,Customer Service,Positive
5,Very happy with the service!,Delivery,Positive
3,Very disappointed with the quality.,App Experience,Negative
3,Delivery was late and I was unhappy.,Delivery,Negative
5,Good selection of products.,App Experience,Positive
4,"Average experience, could improve.",Customer Service,Neutral
2,Not worth the price I paid.,Customer Service,Negative
4,Very happy with the service!,Product Quality,Positive
5,Very happy with the service!,App Experience,Positive
2,The packaging was poor.,App Experience,Negative
1,Items were missing from my order.,Customer Service,Negative
3,"Delivery was fine, but the product could be better.",Customer Service,Neutral
4,"Average experience, could improve.",Customer Service,Neutral
1,The order was incorrect.,Delivery,Negative
1,Very disappointed with the quality.,Customer Service,Negative
1,The packaging was poor.,Product Quality,Negative
2,Delivery was late and I was unhappy.,Delivery,Negative
3,The product met my expectations.,App Experience,Neutral
4,Highly recommended!,App Experience,Positive
3,The product met my expectations.,Product Quality,Neutral
4,"Average experience, could improve.",Delivery,Neutral
5,Good selection of products.,App Experience,Positive
3,Delivery was late and I was unhappy.,Delivery,Negative
4,"Average experience, could improve.",Customer Service,Neutral
2,Not worth the price I paid.,Customer Service,Negative
4,"Delivery was fine, but the product could be better.",App Experience,Neutral
3,"Average experience, could improve.",Delivery,Neutral
1,Taste was not as expected.,Delivery,Negative
3,Taste was not as expected.,Customer Service,Negative
4,Very fresh and well-packaged.,Customer Service,Positive
3,Delivery was late and I was unhappy.,Product Quality,Negative
5,Items were in perfect condition.,Delivery,Positive
3,Items were missing from my order.,Delivery,Negative
4,The product met my expectations.,Product Quality,Neutral
4,"Overall good experience, thank you!",Product Quality,Positive
3,The order was incorrect.,Customer Service,Negative
4,"Overall good experience, thank you!",App Experience,Positive
2,Not worth the price I paid.,Product Quality,Negative
4,"Overall good experience, thank you!",Product Quality,Positive
3,The order was incorrect.,Product Quality,Negative
2,The order was incorrect.,Product Quality,Negative
5,Good selection of products.,Product Quality,Positive
3,I had a bad experience.,Delivery,Negative
1,The packaging was poor.,Delivery,Negative
2,The order was incorrect.,Delivery,Negative
3,Taste was not as expected.,Product Quality,Negative
5,Good selection of products.,App Experience,Positive
5,Very fresh and well-packaged.,Product Quality,Positive
4,Very happy with the service!,Delivery,Positive
5,Very happy with the service!,Customer Service,Positive
5,Good selection of products.,Delivery,Positive
4,"Delivery was fine, but the product could be better.",Product Quality,Neutral
3,"Delivery was fine, but the product could be better.",Product Quality,Neutral
4,Good selection of products.,Customer Service,Positive
4,Great prices and fast delivery!,Customer Service,Positive
5,Will definitely order again.,Product Quality,Positive
4,"Average experience, could improve.",Customer Service,Neutral
5,Will definitely order again.,Product Quality,Positive
1,Items were missing from my order.,App Experience,Negative
4,"Delivery was fine, but the product could be better.",Product Quality,Neutral
3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral
4,"Average experience, could improve.",Customer Service,Neutral
4,"It was okay, nothing special.",Delivery,Neutral
4,"Delivery was fine, but the product could be better.",App Experience,Neutral
3,"Average experience, could improve.",App Experience,Neutral
3,The order was incorrect.,Customer Service,Negative
